Validation_Set,Threshold,Strategy,Net_Benefit
MIMIC-IV temporal,0.1,Treat none,0
MIMIC-IV temporal,0.11,XGBoost,0.255228681989836
MIMIC-IV temporal,0.11,Treat all,0.242855144761994
MIMIC-IV temporal,0.11,Treat none,0
MIMIC-IV temporal,0.12,XGBoost,0.249754809505847
MIMIC-IV temporal,0.12,Treat all,0.234251225952471
MIMIC-IV temporal,0.12,Treat none,0
MIMIC-IV temporal,0.13,XGBoost,0.245356989555015
MIMIC-IV temporal,0.13,Treat all,0.225449515905947
MIMIC-IV temporal,0.13,Treat none,0
MIMIC-IV temporal,0.14,XGBoost,0.239949821480266
MIMIC-IV temporal,0.14,Treat all,0.21644311492811
MIMIC-IV temporal,0.14,Treat none,0
MIMIC-IV temporal,0.15,XGBoost,0.235538198681962
MIMIC-IV temporal,0.15,Treat all,0.207224798633146
MIMIC-IV temporal,0.15,Treat none,0
MIMIC-IV temporal,0.16,XGBoost,0.231535269709544
MIMIC-IV temporal,0.16,Treat all,0.197786998616874
MIMIC-IV temporal,0.16,Treat none,0
MIMIC-IV temporal,0.17,XGBoost,0.22816577513373
MIMIC-IV temporal,0.17,Treat all,0.18812178173274
MIMIC-IV temporal,0.17,Treat none,0
MIMIC-IV temporal,0.18,XGBoost,0.224066390041494
MIMIC-IV temporal,0.18,Treat all,0.178220827851432
MIMIC-IV temporal,0.18,Treat none,0
MIMIC-IV temporal,0.19,XGBoost,0.222181240715127
MIMIC-IV temporal,0.19,Treat all,0.168075405973055
MIMIC-IV temporal,0.19,Treat none,0
MIMIC-IV temporal,0.2,XGBoost,0.219087136929461
MIMIC-IV temporal,0.2,Treat all,0.157676348547718
MIMIC-IV temporal,0.2,Treat none,0
MIMIC-IV temporal,0.21,XGBoost,0.214444035926257
MIMIC-IV temporal,0.21,Treat all,0.14701402384579
MIMIC-IV temporal,0.21,Treat none,0
MIMIC-IV temporal,0.22,XGBoost,0.208766890094691
MIMIC-IV temporal,0.22,Treat all,0.136078306202788
MIMIC-IV temporal,0.22,Treat none,0
MIMIC-IV temporal,0.23,XGBoost,0.203729051031956
MIMIC-IV temporal,0.23,Treat all,0.124858543945681
MIMIC-IV temporal,0.23,Treat none,0
MIMIC-IV temporal,0.24,XGBoost,0.200611487224285
MIMIC-IV temporal,0.24,Treat all,0.113343524787071
MIMIC-IV temporal,0.24,Treat none,0
MIMIC-IV temporal,0.25,XGBoost,0.198340248962656
MIMIC-IV temporal,0.25,Treat all,0.101521438450899
MIMIC-IV temporal,0.25,Treat none,0
MIMIC-IV temporal,0.26,XGBoost,0.193517999327128
MIMIC-IV temporal,0.26,Treat all,0.0893798362678031
MIMIC-IV temporal,0.26,Treat none,0
MIMIC-IV temporal,0.27,XGBoost,0.188461319843119
MIMIC-IV temporal,0.27,Treat all,0.0769055874495538
MIMIC-IV temporal,0.27,Treat none,0
MIMIC-IV temporal,0.28,XGBoost,0.18427846934071
MIMIC-IV temporal,0.28,Treat all,0.0640848317196864
MIMIC-IV temporal,0.28,Treat none,0
MIMIC-IV temporal,0.29,XGBoost,0.180819355969844
MIMIC-IV temporal,0.29,Treat all,0.0509029279410905
MIMIC-IV temporal,0.29,Treat none,0
MIMIC-IV temporal,0.3,XGBoost,0.17628927089508
MIMIC-IV temporal,0.3,Treat all,0.0373443983402489
MIMIC-IV temporal,0.3,Treat none,0
MIMIC-IV temporal,0.31,XGBoost,0.172962896145288
MIMIC-IV temporal,0.31,Treat all,0.0233928678814119
MIMIC-IV temporal,0.31,Treat none,0
MIMIC-IV temporal,0.32,XGBoost,0.168220649255553
MIMIC-IV temporal,0.32,Treat all,0.00903099829143267
MIMIC-IV temporal,0.32,Treat none,0
MIMIC-IV temporal,0.33,XGBoost,0.163609339196136
MIMIC-IV temporal,0.33,Treat all,-0.00575958382362052
MIMIC-IV temporal,0.33,Treat none,0
MIMIC-IV temporal,0.34,XGBoost,0.157047654972966
MIMIC-IV temporal,0.34,Treat all,-0.0209983653967056
MIMIC-IV temporal,0.34,Treat none,0
MIMIC-IV temporal,0.35,XGBoost,0.152314075965528
MIMIC-IV temporal,0.35,Treat all,-0.0367060325566549
MIMIC-IV temporal,0.35,Treat none,0
MIMIC-IV temporal,0.36,XGBoost,0.148392116182573
MIMIC-IV temporal,0.36,Treat all,-0.0529045643153527
MIMIC-IV temporal,0.36,Treat none,0
MIMIC-IV temporal,0.37,XGBoost,0.14201409471119
MIMIC-IV temporal,0.37,Treat all,-0.0696173351775012
MIMIC-IV temporal,0.37,Treat none,0
MIMIC-IV temporal,0.38,XGBoost,0.137331013251238
MIMIC-IV temporal,0.38,Treat all,-0.0868692276803641
MIMIC-IV temporal,0.38,Treat none,0
MIMIC-IV temporal,0.39,XGBoost,0.132385552003265
MIMIC-IV temporal,0.39,Treat all,-0.104686756002993
MIMIC-IV temporal,0.39,Treat none,0
MIMIC-IV temporal,0.4,XGBoost,0.130843706777317
MIMIC-IV temporal,0.4,Treat all,-0.123098201936376
MIMIC-IV temporal,0.4,Treat none,0
MIMIC-IV temporal,0.41,XGBoost,0.12621140727196
MIMIC-IV temporal,0.41,Treat all,-0.142133764681061
MIMIC-IV temporal,0.41,Treat none,0
MIMIC-IV temporal,0.42,XGBoost,0.121447989698097
MIMIC-IV temporal,0.42,Treat all,-0.161825726141079
MIMIC-IV temporal,0.42,Treat none,0
