Model,Validation_Set,Metric,Estimate,Lower,Upper
SVM_RBF,NWICU,MCC,0.464271188709199,,
SVM_RBF,eICU,AUROC,0.861736275956459,0.845298595899755,0.878319557615612
SVM_RBF,eICU,AUPRC,0.741802143088475,0.70737267190081,0.774500730539319
SVM_RBF,eICU,Calibration_Intercept,-0.87009696031909,,
SVM_RBF,eICU,Calibration_Slope,0.799916527329193,,
SVM_RBF,eICU,Brier,0.151535510235092,0.141941419054902,0.16145737153753
SVM_RBF,eICU,ECE,0.111012239636771,,
SVM_RBF,eICU,MCE,0.21099312605891,,
SVM_RBF,eICU,Sensitivity,0.910606060606061,,
SVM_RBF,eICU,Specificity,0.596330275229358,,
SVM_RBF,eICU,PPV,0.512361466325661,,
SVM_RBF,eICU,NPV,0.934734513274336,,
SVM_RBF,eICU,Accuracy,0.696196437168994,,
SVM_RBF,eICU,F1,0.655755591925805,,
SVM_RBF,eICU,MCC,0.476076882094867,,
XGBoost,Development nested OOF,AUROC,0.868440927890667,0.857666976285896,0.878094385523424
XGBoost,Development nested OOF,AUPRC,0.758453978729512,0.737678563579863,0.779946960918009
XGBoost,Development nested OOF,Calibration_Intercept,-0.000899072700762379,,
XGBoost,Development nested OOF,Calibration_Slope,1.05243128107997,,
XGBoost,Development nested OOF,Brier,0.134681037949464,0.129453140083129,0.140629550116834
XGBoost,Development nested OOF,ECE,0.0147044052641729,,
XGBoost,Development nested OOF,MCE,0.0290689323662339,,
XGBoost,Development nested OOF,Sensitivity,0.774096385542169,,
XGBoost,Development nested OOF,Specificity,0.802309208673613,,
XGBoost,Development nested OOF,PPV,0.646703573225969,,
XGBoost,Development nested OOF,NPV,0.883684863523573,,
XGBoost,Development nested OOF,Accuracy,0.793321819228555,,
XGBoost,Development nested OOF,F1,0.704688785302989,,
XGBoost,Development nested OOF,MCC,0.552918494942789,,
XGBoost,MIMIC-III,AUROC,0.843143572247356,0.818007096998867,0.865661158839749
XGBoost,MIMIC-III,AUPRC,0.729107142973488,0.678981444822245,0.776765503755048
XGBoost,MIMIC-III,Calibration_Intercept,0.0797742010189201,,
XGBoost,MIMIC-III,Calibration_Slope,0.900570479082827,,
XGBoost,MIMIC-III,Brier,0.14627747268272,0.133712110606379,0.159022093683348
XGBoost,MIMIC-III,ECE,0.0341864339814118,,
XGBoost,MIMIC-III,MCE,0.103109173733613,,
XGBoost,MIMIC-III,Sensitivity,0.741424802110818,,
XGBoost,MIMIC-III,Specificity,0.805912596401028,,
XGBoost,MIMIC-III,PPV,0.650462962962963,,
XGBoost,MIMIC-III,NPV,0.864827586206897,,
XGBoost,MIMIC-III,Accuracy,0.784788245462403,,
XGBoost,MIMIC-III,F1,0.692971639950678,,
XGBoost,MIMIC-III,MCC,0.531072300784339,,
XGBoost,MIMIC-IV temporal,AUROC,0.829970919665576,0.805464996273141,0.853105092397863
XGBoost,MIMIC-IV temporal,AUPRC,0.723390239707789,0.680749254632102,0.764238681664436
XGBoost,MIMIC-IV temporal,Calibration_Intercept,-0.166608714721011,,
XGBoost,MIMIC-IV temporal,Calibration_Slope,0.869722825755232,,
XGBoost,MIMIC-IV temporal,Brier,0.154389816454005,0.142205446946743,0.167168627695903
XGBoost,MIMIC-IV temporal,ECE,0.0487258072594699,,
XGBoost,MIMIC-IV temporal,MCE,0.123859365781148,,
XGBoost,MIMIC-IV temporal,Sensitivity,0.755725190839695,,
XGBoost,MIMIC-IV temporal,Specificity,0.740147783251232,,
XGBoost,MIMIC-IV temporal,PPV,0.584645669291339,,
XGBoost,MIMIC-IV temporal,NPV,0.862266857962697,,
XGBoost,MIMIC-IV temporal,Accuracy,0.745228215767635,,
XGBoost,MIMIC-IV temporal,F1,0.659267480577137,,
XGBoost,MIMIC-IV temporal,MCC,0.47075667180397,,
XGBoost,NWICU,AUROC,0.85000255662934,0.814873882333899,0.882559986686635
XGBoost,NWICU,AUPRC,0.676954246848124,0.597866690140396,0.751848470761936
XGBoost,NWICU,Calibration_Intercept,-0.703538685968845,,
XGBoost,NWICU,Calibration_Slope,1.0193035762579,,
XGBoost,NWICU,Brier,0.140586032002244,0.126068730707199,0.156215665104047
XGBoost,NWICU,ECE,0.0991022462190918,,
