Outer_Fold,Feature,Boruta,LASSO,Selected,Forced,Fallback,Lambda_1se
8,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Lung_Infection,FALSE,TRUE,FALSE,FALSE,FALSE,0.0145599988044737
8,GI_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Other_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Cl,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0145599988044737
8,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0145599988044737
8,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0145599988044737
9,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Gender,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,ICU_Type,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,OASIS,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Hypertension,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Lung_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,GI_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Other_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0163320076660596
9,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
9,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0163320076660596
